"80","1","Habiletés comportementales","Montre un comportement adéquat en classe (déplacements en classe)","L'élève est calme et son comportement est adéquat en classe","L'élève bouge un peu mais se calme avec l'intervention de l'adulte","L'élève est agité et il perturbe le déroulement de la classe","2024-04-17 01:47:40","2024-04-17 01:47:40"
"99","1","Habiletés d'imitation","Est capable d'aller chercher un objet hors de vue (permanence de l'objet : gourde, jouet, personne)","Sur le plan de la permanence de l'objet, l'élève est capable d'aller chercher un objet hors de vue comme sa gourde, un jouet, ou une personne","La permanence de l'objet est cours d'acquisition, avec l'aide de l'adulte, l'élève peut aller chercher un objet hors de vue comme sa gourde, un jouet, ou une personne.","Sur le plan de la permanence de l'objet, l'élève n'est pas capable d'aller chercher un objet hors de vue comme sa gourde, un jouet, ou une personne malgré l'aide de l'adulte.","2024-04-17 01:47:40","2024-04-18 12:19:02"
"100","1","Habiletés de communication-receptive","Réagit à son prénom en regardant l’adulte","L'élève réagit à son prénom en regardant l’adulte","L'élève réagit parfois à son prénom en regardant l'adulte","L'élève ne réagit pas à son prénom en regardant l'adulte.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"101","1","Habiletés de communication-receptive","Pointe au moins 10 objets sur demande, toute catégorie confondue.","L'élève pointe au moins 10 objets sur demande","Avec aide, l'élève pointe quelques objets sur demande","L'élève ne pointe pas d'objets demandés par l'adulte. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"102","1","Habiletés de communication-receptive","Donne au moins 10 objets sur demande, toute catégorie confondue.","L'élève donne au moins 10 objets sur demande","Avec aide, l'élève donne quelques objets sur demande","L'élève ne donne pas les objets demandés par l'adulte.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"103","1","Habiletés de communication-receptive","Nomme au moins 10 objets sur demande, toute catégorie confondue.","L'èlève nomme au moins 10 objets sur demande","Avec aide, l'élève nomme quelques objets sur demande","L'élève ne nomme pas les objets demandés par l'adulte.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"104","1","Habiletés de communication-receptive","Compréhension des consignes verbales/gestuelles simples (mange, boit, regarde, viens, assis, écoute, sort, descend, monte, va jouer, donne-moi, ouvre/ferme la boite, prend la balle)","L'élève a une bonne compréhension des consignes verbales et gestuelles simples (mange, boit, regarde, viens, assis, écoute, sort, descend, monte, va jouer, donne-moi, ouvre/ferme la boite, prend la balle)","L'élève a besoin d'aide pour comprendre les consignes verbales/gestuelles simples (mange, boit, regarde, viens, assis, écoute, sort, descend, monte, va jouer, donne-moi, ouvre/ferme la boite, prend la balle).","Malgré l'aide de l'adulte, l'élève ne comprend pas les consignes verbales/gestuelle simples (mange, boit, regarde, viens, assis, écoute, sort, descend, monte, va jouer, donne-moi, ouvre/ferme la boite, prend la balle).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"105","1","Habiletés de communication-receptive","Reconnait/comprend les émotions qui lui enseignées","L'èlève reconnait et comprend différentes émotions qui lui enseignées (joie, tristesste, colére, peur, surprise, dégoût)","La reconnaissance des émotions est en cours d'aquisition: avec l'aide de l'intervenant, l'élève commence à reconnaitre et comprendre les émotions qui lui enseignées (joie, tristesste, colère, peur, surprise, dégoût).","L'élève ne reconnait pas, ni ne comprend les émotions qui lui enseignées (joie, tristesste, colére, peur, surprise, dégoût). ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"106","1","Habiletés de communication-receptive","Suit les consignes verbales pour donner/pointer/montrer 8-10 objets","L'élève comprend les consignes pointer, donner ou montrer des objets de différentes catégories (couleurs, chiffres, lettres, parties du corps, animaux...)","La compréhension des consignes pointer, donner ou montrer des objets, est en cours d'acquisition: l'élève ne le fait pas systématiquement et a besoin d'aide.","L'élève montre une incompréhension des consignes pointer, donner ou montrer des objets de différentes catégories (couleurs, chiffres, lettres, parties du corps, animaux..) malgré l'aide de l'adulte","2024-04-17 01:47:40","2024-04-17 01:47:40"
"107","1","Habiletés de communication-receptive","L'élève suit des consignes multiples en une seule étape dans des situations de routine, ex : Assis-toi, montre-moi le rouge, colorie le dessin.","L'élève comprend et est capable de suivre des consignes multiples (Assis-toi, montre-moi le rouge, colorie le dessin)","Avec aide, l'élève arrive à suivre des consignes multipes telles que \Assis-toi, montre-moi le rouge, colorie le dessin","Même avec aide, l'élève ne comprend pas les consignes multiples (Assis-toi, montre-moi le rouge, colorie le dessin).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"108","1","Habiletés de communication-expressive","Verbal-Non Verbal","L'élève s'exprime avec des mots et se fait comprendre.","L'élève s'exprime avec des mots mais l'adulte a de la difficulté à le comprendre.","L'élève est non-verbal mais émet des sons audibles. ","2024-04-17 01:47:40","2024-04-18 12:22:04"
"109","1","Habiletés de communication-expressive","Répond à son prénom en regardant l’adulte","L'élève répond à son prénom en regardant l’adulte","L'élève réagit parfois à son prénom en regardant l'adulte","L'élève ne réagit pas à son prénom malgré l'insitance de l'adulte. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"110","1","Habiletés de communication-expressive","Utilise un contact visuel approprié lorsqu'il est engagé dans une interaction verbale","L'élève est capable d'utiliser un contact visuel approprié lorsqu'il est engagé dans une interaction verbale","L'élève utilise peu de contact visuel lorsqu'il est engagé dans une interaction verbale.","L'élève n'utilise pas un contact visuel lorsqu'il est engagé dans une interaction verbale. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"111","1","Habiletés de communication-expressive","Répond aux salutations en disant bonjour ou au revoir","L'élève répond aux salutations sociales en disant ""bonjour"" ou ""au revoir""","L'élève répond avec aide aux salutations sociales en disant ""bonjour"" ou ""au revoir""","Malgré l'aide de l'adulte, l'élève ne répond pas aux salutations sociales en disant ""bonjour"" ou ""au revoir""","2024-04-17 01:47:40","2024-04-18 12:22:52"
"112","1","Habiletés de communication-expressive","Répond aux salutations en faisant un geste de la main","L'élève répond aux salutations sociales par un geste de la main.","Avec aide de l'adulte, l'élève répond aux salutations sociales par un geste de la main.","L'élève ne répond pas aux salutations sociales par un geste de la main.","2024-04-17 01:47:40","2024-04-18 12:24:01"
"113","1","Habiletés de communication-expressive","Exprime ses besoins de base (boire, manger, mal, toillettes…) en pointant les Pictos","L'élève pointe les pictos appropriés pour exprimer ses besoins de base (boire, manger, toillettes ou avoir mal)","Avec l'aide de l'adulte, l'élève arrive à pointer ses besoins de base (boire, manger, toillettes ou avoir mal)","Malgré l'aide de l'adulte, l'élève ne pointe pasles pictos appropriés pour exprimer ses besoins de base (boire, manger, toilettes ou avoir mal).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"114","1","Habiletés de communication-expressive","Nomme ses besoins de base (boire, manger, mal…)","L'élève est capable de nommer ses besoins de base (boire, manger ou avoir mal)","Avec l'aide de l'adulte, l'élève arrive à nomer ses besoins de base (boire, manger ou avoir mal)","Malgré l'aide de l'adulte, l'élève n'arrive pas à nomer ses besoins de base (boire, manger ou avoir mal).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"115","1","Habiletés de communication-expressive","Exprime le oui/non par des pictos","L'élève est capable de pointer le oui/non sur picto de façon approprié à la circonstance","Avec l'aide de l'adulte, l'élève est capable de pointer sur picto le oui/non de façon approprié à la circonstance","Malgré l'aide reçue de l'adulte, l'élève est capable de pointer sur picto le oui/non de façon approprié à la circonstance.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"116","1","Habiletés de communication-expressive","Hoche la tête pour indiquer oui/non de facon appropriée à la circonstance","L'élève est capable d'hocher la tête pour exprimer oui/non de façon appropriée à la circonstance","Avec un rappel de la méthode, l'élève est capable d'hocher la tête pour exprimer oui/non de façon appropriée à la circonstance","Malgré le rappel de l'adulte, l'élève ne hoche pas la tête pour exprimer le oui/non de façon appropriée à la circonstance.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"117","1","Habiletés de communication-expressive","Dit oui/non de facon appropriée à la circonstance","L'élève est capable de dire oui/non de façon appropriée à la circonstance","Avec un rappel de l'adulte, l'élève est capable de dire oui/non de façon appropriée à la circonstance","Malgré le rappel de l'adulte, l'élève ne dit pas oui/non de façon appropriée à la circonstance.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"118","1","Habiletés de communication-expressive","Reconnait ses émotions en les pointant ou en les nomant","L'élève reconnait ses émotions en les pointant ou en les nomant","Avec l'aide de l'adulte, l'élève arrive à reconnaitre certaines de ses émotions en les pointant ou en les nomant","Malgré l'aide de l'adulte, n'arrive pas à reconnaitre ses émotions en les pointant ou en les nomant. ","2024-04-17 01:47:40","2024-04-18 12:26:17"
"119","1","Habiletés de communication-expressive","Regarder/Vocaliser/Gesticuler pour attirer l'attention des autres","L'élève est capable d'attirer l'attention des autres par le regard, la vocalisation, les gestes, etc.","L'élève a besoin de l'aide de l'adulte pour attirer l'attention des autres par le regard, la vocalisation, les gestes, etc.","Malgré l'aide de l'adulte, l'élève n'attire pas l'attention des autres par le regard, la vocalisation, les gestes, etc.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"120","1","Habiletés de communication-expressive","Regarder/Gesticuler pour diriger l'attention de quelqu'un vers un objet ou un événement","L'élève utilise des gestes ou regards pour dirigier l'attention de quelqu'un vers un objet ou un événement","L'élève a de la difficulté à utiliser des gestes ou regards pour dirigier l'attention de quelqu'un vers un objet ou un événement.","L'élève n'utilise pas de gestes ou de regards pour dirigier l'attention de quelqu'un vers un objet ou un événement. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"121","1","Habiletés de communication-expressive","Réagit/Suit spontanément un objet pointé du regard par l'adulte","L'élève est capable de suivre spontanément le regard (ou le pointage) de l'adulte sur un objet.","L'élève a de la difficulté à suivre spontanément le regard (ou le pointage) de l'adulte sur un objet.","L'élève ne suit pas spontanément le regard (ou le pointage) de l'adulte sur un objet.","2024-04-17 01:47:40","2024-04-18 12:29:02"
"122","1","Habiletés de communication-expressive","Demander un objet hors de portée par pointage","L'élève est capable de pointer pour demander un objet hors de portée","Avec aide, l'élève est capable de pointer pour demander un objet hors de portée","Malgré l'aide de l'adulte, l'élève ne pointe pas pour demander un objet hors de sa portée. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"123","1","Habiletés de communication-expressive","Choisit en pointant ou en nommant entre 2 produits alimentaires, 2 objets ou 2 activités: un apprécié et l'autre non","L'élève est capable de choisir entre 2 choses appréciées ou non (produits alimentaires, objets, activités).","L'élève a de la difficulté à choisir entre 2 choses appréciées ou non (produits alimentaires, objets, activités) et a besoin de l'adulte.","L'élève n'est pas capable de choisir entre 2 choses appréciées ou non (produits alimentaires, objets, activités) malgré l'aide de l'adute. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"124","1","Habiletés de communication-expressive","Demande «encore» ou la continuation d'une activité, objet, etc.","L'élève est capable d'exprimer son désir de poursuivre une activité en demandant «encore» ou par des gestes ou pointage.","L'élève a de la difficulté à exprimer son désir de poursuivre une activité en demandant «encore» ou par des gestes ou pointage; cependant, il se fait comprendre avec l'aide de l'adulte","L'élève n'exprime pas son désir de poursuivre une activité en demandant «encore» ou par des gestes ou pointage.","2024-04-17 01:47:40","2024-04-18 12:33:34"
"125","1","Habiletés de communication-expressive","Demande un jeu/activité (mots ou gestes)","L'élève est capable demander par des mots ou gestes un jeu ou une activité désirée ou proposée par l'adulte.","Avec aide, l'élève arrive à demander par des mots ou gestes un jeu ou une activité désirée.","L'élève n'est pas capable de demander un jeu ou une activité désirée ni par des mots, ni par des gestes,. ","2024-04-17 01:47:40","2024-04-18 12:34:34"
"126","1","Habiletés de communication-expressive","Demande à mettre fin à une activité (fini)","L'élève est capable d'exprimer son désir de mettre fin à une activité verbalement ou par des gestes","L'élève a de la difficulté à exprimer son désir de mettre fin à une activité verbalement ou par des gestes; Il a besoin de l'aide de l'adulte pour se faire comprendre.","L'élève n'exprime pas son désir de mettre fin à une activité ni verbalement, ni par des gestes. ","2024-04-17 01:47:40","2024-04-18 12:37:48"
"127","1","Habiletés de communication-expressive","Demande de l'aide","L'élève est capable de demander de l'aide.","L'élève a de la difficulté à demander de l'aide.","L'élève ne demande pas d'aide quand il en a besoin. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"128","1","Habiletés de communication-expressive","Communique ce qu'il aime/n'aime pas par des mots/gestes","L'élève est capable de communiquer ce qu'il aime ou n'aime pas par des mots/gestes.","L'élève communique peu ce qu'il aime ou n'aime pas par des mots/gestes.","L'élève ne communique pas ce qu'il aime ou n'aime pas. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"129","1","Habiletés de communication-expressive","Exprime par des mots ou des gestes je ne sais pas dans un contexte approprié.","L'élève exprime ""je ne sais pas"" dans un contexte approprié avec des mots ou des gestes.","L'élève exprime avec difficulté ""je ne sais pas"" dans un contexte approprié avec des mots ou des gestes","L'élève n'exprime pas ""je ne sais pas"" dans un contexte approprié avec des mots ou des gestes.","2024-04-17 01:47:40","2024-04-18 12:39:49"
"130","1","Habiletés de communication-expressive","Demande qu'est ce que c'est ?","L'élève demande ""qu'est-ce que c'est ?""","L'élève demande rarement ""qu'est-ce que c'est ?""","L'élève ne demande pas ""qu'est-ce que c'est ?""","2024-04-17 01:47:40","2024-04-18 12:41:32"
"131","1","Habiletés cognitives","Complete des casse-tetes/puzzles (3-25 morceaux)","L'élève complète des casse-tetes de 3 à 25 morceaux.","L'élève complète des casse-tete de 3 à 25 morceaux avec l'aide de l'adulte.","L'élève ne complète pas de casse-tete malgré l'aide de l'adulte.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"132","1","Habiletés cognitives","Assemble des légos en suivant un modèle/image","L'élève assemble des légos en suivant un modèle/image","L'élève a besoin de l'aide de l'adulte pour assembler des légos en suivant un modèle/image","Malgré l'aide de l'adulte, l'élève n'assemble pas de légos en suivant un modèle/image","2024-04-17 01:47:40","2024-04-17 01:47:40"
"133","1","Habiletés cognitives","Manipule la pate à modeler pour créer différentes formes (animaux…)","L'élève manipule la pâte à modéler pour créer différentes formes (animaux, etc.).","Avec l'aide de l'adulte, l'élève réussit à manipule la pâte à modéler pour créer différentes formes (animaux…).","Malgré l'aide de l'adulte, l'élève ne manipule pas la pâte à modéler pour créer différentes formes (animaux…).","2024-04-17 01:47:40","2024-04-18 12:43:00"
"134","1","Habiletés cognitives","Répond/participe aux jeux de marionnettes","L'élève répond/participe aux jeux de marionnettes.","Avec l'aide de l'adulte, l'élève répond/participe aux jeux de marionnettes.","Malgré l'aide de l'adulte, l'élève ne répond pas et/ou ne participe pas aux jeux de marionnettes.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"135","1","Habiletés cognitives","Fait des jeux de rôles (telephone, personnages….)","L'élève fait des jeux de rôles (telephone, personnages….).","Avec l'aide de l'adulte, l'élève fait des jeux de rôles (telephone, personnages….).","Malgré l'aide de l'adulte, l'élève ne fait pas de jeux de rôles (telephone, personnages….).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"136","1","Habiletés cognitives","Anticipe une réaction, une action ou un événement spécifique (ex.: sent les aliments et sait que c'est l'heure de manger)","L'élève est capable d'anticiper une réaction, une action ou un évènement spécifique (ex.: sent les aliments et sait que c'est l'heure de manger).","Avec aide, l'élève est capable d'anticiper certaines réactions, actions ou évènements spécifiques (ex.: sent les aliments et sait que c'est l'heure de manger).","L'élève n'est pas capable d'anticiper une réaction, une action ou un évènement spécifique (ex.: sent les aliments et sait que c'est l'heure de manger).","2024-04-17 01:47:40","2024-04-18 13:10:52"
"137","1","Habiletés cognitives","Cherche une personne/objet qu'il ne voit plus","L'élève cherche une personne ou un objet qu'il ne voit pas","Avec aide, l'élève est capable de chercher une personne ou un objet qu'il ne voit pas","L'élève n'est pas en mesure de chercher une personne ou un objet qu'il ne voit pas","2024-04-17 01:47:40","2024-04-18 13:08:01"
"138","1","Habiletés cognitives","Agit sur un jouet/objet simple afin de produire un effet, ex.: frappe, tourne, secoue, appuie sur des boutons","L'élève agit seul sur un jouet/objet simple afin de produire un effet (ex.: frappe, tourne, secoue, appuie sur des boutons).","Avec le soutien de l'adulte, l'élève peut agir sur un jouet/objet simple afin de produire un effet (ex.: frappe, tourne, secoue, appuie sur des boutons).","Malgré le soutien de l'adulte, l'élève n'agit pas sur un jouet/objet simple afin de produire un effet (ex.: frappe, tourne, secoue, appuie sur des boutons).","2024-04-17 01:47:40","2024-04-18 12:45:09"
"139","1","Habiletés cognitives","Imite une seule action avec un jouet/objet (ex. tape sur un tambour)","L'élève est capable d'imiter une action avec un jouet ou objet (ex. tape sur un tambour)","Avec l'aide de l'adulte, l'élève peut imiter une action avec un jouet ou objet (ex. tape sur un tambour)","Malgré l'aide de l'adulte, l'élève n'imite pas une action avec un jouet ou objet (ex. tape sur un tambour).","2024-04-17 01:47:40","2024-04-18 13:16:40"
"140","1","Habiletés cognitives","Imite différentes actions motrices au cours des routines des chansons/jeux, ex.: lors des activités en groupe","L'élève imite différentes actions motrices au cours des routines de chansons/jeux (ex.: lors des activités en groupe).","Avec l'aide de l'adulte, l'élève peut imiter différentes actions motrices au cours des routines de chansons/jeux (ex.: lors des activités en groupe)","Malgré l'aide de l'adulte, l'élève n'imite pas d'actions motrices au cours des routines de chansons/jeux (ex.: lors des activités en groupe)","2024-04-17 01:47:40","2024-04-18 13:13:37"
"141","1","Habiletés cognitives","Tente de résoudre des problèmes simples, ex. rampe vers un jouet afin de l'atteindre, contourne un obstacle pour obtenir un objet","L'élève tente de résoudre des problèmes simples (ex. rampe vers un jouet afin de l'atteindre, contourne un obstacle pour obtenir un objet)","Avec le support de l'adulte, l'élève tente de résoudre des problèmes simples (ex. rampe vers un jouet afin de l'atteindre, contourne un obstacle pour obtenir un objet)","Malgré le suppport de l'adulte, l'élève ne résoud pas de problèmes simples (ex. rampe vers un jouet afin de l'atteindre, contourne un obstacle pour obtenir un objet).","2024-04-17 01:47:40","2024-04-18 12:59:03"
"142","1","Habiletés cognitives","Complète un casse-tête à encastrer de XX morceaux","L'élève peut complèter un casse-tête à encastrer de XX morceaux.","Avec aide, l'élève est capable de compléter un casse-tête à encastrer de XX morceaux","L'élève n'est pas capable de compléter un casse-tête encastrer de plus de XX morceaux","2024-04-17 01:47:40","2024-04-18 13:15:09"
"143","1","Habiletés cognitives","Identifie un cercle, un triangle, un carré et un rectangle","L'élève identifie les formes (cercle, triangle, carré et rectangle).","Avec aide, l'élève identifie quelques formes (cercle, triangle, carré et rectangle).","Malgré l'aide de l'adulte, l'élève n'est pas capable d'identifier les formes (cercle, triangle, carré et rectangle).","2024-04-17 01:47:40","2024-04-18 13:19:31"
"144","1","Habiletés cognitives","Assemble les morceaux d'une chaîne de couleurs avec l'aide d'un gabarit","L'élève assemble les morceaux d'une chaîne de couleurs avec l'aide d'un gabarit.","Avec le support de l'adulte, l'élève assemble les morceaux d'une chaîne de couleurs avec l'aide d'un gabarit.","Malgré le support de l'adulte, l'élève n'assemble pas de morceaux d'une chaîne de couleurs avec l'aide d'un gabarit.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"145","1","Habiletés cognitives","Commence à associer les objets avec leur fonction (ex.: une cuillère pour manger, une tasse pour boire)","L'élève commence à associer les objets avec leurs fonctions respectives (ex.: une cuillère pour manger, une tasse pour boire).","Avec l'aide de l'adulte, l'élève est capable d'associer quelques objects avec leurs fonctions respectives (ex.: une cuillère pour manger, une tasse pour boire).","L'élève n'a pas commencé à associer les objets avec leurs fonctions respectives (ex.: une cuillère pour manger, une tasse pour boire).","2024-04-17 01:47:40","2024-04-18 13:01:03"
"146","1","Habiletés cognitives","Pointe plusieurs parties de son propre corps, sur demande","Sur demande de l'adulte, l'élève pointe plusieurs parties de son propre corps","Avec aide, l'élève pointe quelques parties de son propre corps à la demande de l'adulte","L'élève n'est pas capable de pointer sur demande des parties de son propre corps","2024-04-17 01:47:40","2024-04-18 13:22:35"
"147","1","Habiletés cognitives","Nomme au moins 6 parties du corps","L'élève nomme au moins 6 parties du corps.","L'élève nomme moins de 6 parties du corps.","L'élève ne nomme pas de parties du corps.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"148","1","Habiletés cognitives","Localise des parties du corps sur une image lorsqu'on lui demande","L'élève localise des parties du corps sur une image lorsqu'on le lui demande.","Avec aide, l'élève est capable de localiser des parties du corps sur une image lorsqu'on le lui demande","L'élève ne localise pas de parties du corps sur une image lorsqu'on le lui demande.","2024-04-17 01:47:40","2024-04-18 12:57:51"
